
mode,par,maxprocs,maxq,dur,interval,ops,drops,thru,dthr,wall,exec,util,upar,min,p05,p25,p50,p75,p90,p95,p99,max,jitter
espresso,4,4,0,4s,0s,4089,0,1021,0,4.003369658s,8.16s,204%,51%,1.940,3.883,3.885,3.887,3.898,3.952,4.137,4.161,6.842,0s
linearpipe-0,4,4,0,4s,0s,3881,0,969,0,4.004872553s,15.14s,378%,95%,3.935,4.044,4.056,4.118,4.169,4.179,4.207,4.415,7.375,0s
linearpipe-1,4,4,0,4s,0s,3958,0,989,0,4.003893869s,15.384s,384%,96%,3.874,3.878,3.997,4.057,4.098,4.133,4.172,4.319,6.890,0s
linearpipe-10,4,4,0,4s,0s,3950,0,986,0,4.004300587s,15.392s,384%,96%,3.872,3.877,3.997,4.056,4.089,4.126,4.171,4.626,6.912,0s
splitpipe-0,4,4,0,4s,0s,3937,0,983,0,4.004301255s,15.324s,383%,96%,2.947,4.000,4.018,4.045,4.063,4.093,4.113,4.918,9.620,0s
splitpipe-1,4,4,0,4s,0s,4001,0,999,0,4.003068334s,15.556s,389%,97%,2.914,3.558,3.992,3.994,4.002,4.106,4.480,5.046,6.451,0s
americanopipe-0,4,4,0,4s,0s,3955,0,988,0,4.003527742s,11.628s,290%,73%,2.930,4.008,4.018,4.023,4.031,4.072,4.097,4.611,6.874,0s
americanopipe-1,4,4,0,4s,0s,4119,0,1029,0,4.003331505s,12.104s,302%,76%,3.038,3.854,3.875,3.878,3.885,3.905,3.917,4.051,5.943,0s
espressopipe-0,4,4,0,4s,0s,3965,0,990,0,4.004062401s,7.876s,197%,49%,1.976,4.017,4.021,4.024,4.027,4.038,4.063,4.222,6.635,0s
espressopipe-1,4,4,0,4s,0s,4117,0,1028,0,4.002937851s,8.208s,205%,51%,2.085,3.826,3.874,3.878,3.888,3.916,3.936,4.085,6.446,0s
multi-1,4,4,0,4s,0s,3860,0,964,0,4.003590094s,15.024s,375%,94%,3.885,4.108,4.112,4.115,4.121,4.148,4.200,4.774,7.107,0s
multi-2,4,4,0,4s,0s,4091,0,1022,0,4.002527506s,15.888s,397%,99%,3.869,3.872,3.874,3.876,3.878,3.885,3.903,4.002,6.333,0s
multi-4,4,4,0,4s,0s,4092,0,1022,0,4.004667134s,15.9s,397%,99%,3.870,3.872,3.874,3.876,3.878,3.883,3.901,3.985,6.377,0s
multipipe-1,4,4,0,4s,0s,3941,0,985,0,4.003031216s,15.38s,384%,96%,3.873,3.877,3.985,4.045,4.058,4.114,4.163,6.070,7.824,0s
multipipe-2,4,4,0,4s,0s,4107,0,1025,0,4.005332159s,15.964s,399%,100%,3.871,3.873,3.874,3.875,3.878,3.900,4.043,4.124,6.946,0s
multipipe-4,4,4,0,4s,0s,4126,0,1030,0,4.004370136s,16.008s,400%,100%,3.871,3.873,3.874,3.875,3.877,3.882,3.895,3.945,6.740,0s
mode,par,maxprocs,maxq,dur,interval,ops,drops,thru,dthr,wall,exec,util,upar,min,p05,p25,p50,p75,p90,p95,p99,max,jitter
ideal,5,5,0,4s,0s,5115,0,1277,0,4.005003945s,19.864s,496%,99%,3.869,3.872,3.874,3.875,3.878,3.884,3.897,3.962,6.928,0s
locking,5,5,0,4s,0s,1025,0,255,0,4.016779824s,4.052s,101%,20%,3.878,19.376,19.379,19.384,19.405,19.452,19.626,28.298,34.260,0s
finelocking,5,5,0,4s,0s,3862,0,964,0,4.004473703s,15.1s,377%,75%,3.888,5.138,5.147,5.158,5.173,5.197,5.278,6.197,8.102,0s
parsteam,5,5,0,4s,0s,3857,0,963,0,4.005128815s,15.076s,376%,75%,2.918,5.148,5.161,5.169,5.194,5.221,5.256,6.070,7.146,0s
americano,5,5,0,4s,0s,3877,0,968,0,4.004565749s,11.36s,284%,57%,2.920,5.138,5.142,5.146,5.159,5.182,5.203,6.062,7.007,0s
